Id;addr:full;addr:street;addr:housenumber;addr:block;addr:floor;addr:housename;addr:postcode;addr:city;addr:place;latitud_v1;longitud_v1;latitud;longitud;estat
530;Carrer Verge de la Mercè, 1;Carrer Verge de la Mercè;1;;;;08950 ;Esplugues de Llobregat;;;;41,372298519;2,09756088;OK
531;Carrer Nord, 84;Carrer Nord;84;;;;08950 ;Esplugues de Llobregat;;;;41,380912481;2,082761641;OK
532;Carrer Salvador Espriu, s/n;Carrer Salvador Espriu;s/n;;;;08960 ;Sant Just Desvern;;;;41,380842462;2,070433589;OK
533;Carrer de l'Orfeó Català, 1, baixos 1a;Carrer de l'Orfeó Català;1;;;;08970 ;Sant Joan Despí;;;;0,0;0,0;KO
534;Carrer Montjuïc, 7, 1r 1a;Carrer Montjuïc;7;;1;;08970 ;Sant Joan Despí;;;;0,0;0,0;KO
535;Carrer Sant Miquel, 5;Carrer Sant Miquel;5;;;;08970 ;Sant Joan Despí;;;;0,0;0,0;KO
536;Passatge Sant Miquel, s/n;Passatge Sant Miquel;s/n;;;;08970 ;Sant Joan Despí;;;;0,0;0,0;KO
538;Carrer Frederica Montseny, 23-25;Carrer Frederica Montseny;23-25;;;;08980 ;Sant Feliu de Llobregat;;;;41,386302987;2,056160702;OK
539;Carrer Rectoria, 4-6 (Can Ricard);Carrer Rectoria;4-6;;;Can Ricard;08980 ;Sant Feliu de Llobregat;;;;41,381708099;2,04521042;OK
540;Carrer Vidal i Ribas, 23-25, 1r despatx 2 (Ateneu Santfeliuenc);Carrer Vidal i Ribas;23-25;;1;Ateneu Santfeliuenc;08980 ;Sant Feliu de Llobregat;;;;41,382051864;2,046961906;OK
541;Carrer Joan Maragall, 19, 3r 2a;Carrer Joan Maragall;19;;3;;17001 ;Girona;;;;41,979793437;2,821694204;OK
542;Plaça de Mela Mutermilch, 1, 3r 1a;Plaça de Mela Mutermilch;1;;3;;17001 ;Girona;;;;0,0;0,0;KO
543;Carrer de la Cort Reial, 7;Carrer de la Cort Reial;7;;;;17002 ;Girona;;41,984598;2,8249556;41,984595143;2,824966052;OK
544;Plaça Sant Pere,2,2n.2ª;Plaça Sant Pere;2;;2;;17002 ;Girona;;;;0,0;0,0;KO
545;Carrer Manel Bonmatí Romaguera, 2 (Pimec);Carrer Manel Bonmatí Romaguera;2;;;Pimec;17003 ;Girona;;;;0,0;0,0;KO
546;Carrer Narcís Blanch, 13, 1r 2a;Carrer Narcís Blanch;13;;1;;17003 ;Girona;;;;0,0;0,0;KO
547;Carrer Albareda, 3-5 (Centre Social Barri Vell);Carrer Albareda;3-5;;;Centre Social Barri Vell;17004 ;Girona;;;;41,982431174;2,824215068;OK
548;Carrer Camp de la Plana, 13;Carrer Camp de la Plana;13;;;;17004 ;Girona;;;;41,973015396;2,842096608;OK
549;Carrer La Plana, 13;Carrer La Plana;13;;;;17004 ;Girona;;;;41,973015396;2,842096608;OK
550;Plaça de l'Assumpció, 27;Plaça de l'Assumpció;27;;;;17005 ;Girona;;41,9750448;2,8115403;41,9750448;2,8115403;KO
551;Plaça de l'Assumpció, 27 (Centre Cívic Sant Narcís);Plaça de l'Assumpció;27;;;Centre Cívic Sant Narcís;17005 ;Girona;;;;0,0;0,0;KO
552;Carrer de les Agudes, 69, 5è 5a;Carrer de les Agudes;69;;5;;17006 ;Girona;;;;41,971054597;2,80229122;OK
553;Carrer del Pont Major, 67-73;Carrer del Pont Major;67-73;;;;17007 ;Girona;;42,0122032;2,825423;42,012203469;2,825422779;OK
554;Carrer Onze de Setembre, 31 A;Carrer Onze de Setembre;31 A;;;;17007 ;Girona;;41,8838907;2,8795975;41,996874462;2,828839146;OK
555;Rambla Xavier Cugat,15-12;Rambla Xavier Cugat;5-12;;;;17007 ;Girona;;;;41,992464892;2,812540757;OK
556;Carrer de Santa Eugènia, 146 (Centre Cívic Can Ninetes, GR Santa Eugènia);Carrer de Santa Eugènia;146;;;Centre Cívic Can Ninetes;17080 ;Girona;;;;0,0;0,0;KO
557;Carrer Pompeu Fabra, 20;Carrer Pompeu Fabra;20;;;;17100 ;La Bisbal d'Empordà;;41,9624887;3,0396163;41,962971752;3,039197001;OK
558;Carrer del Migdia, 13;Carrer del Migdia;13;;;;17142 ;Verges;;42,0609801;3,0447126;42,061047655;3,043937021;OK
559;Carrer Montseny, 4 (Biblioteca);Carrer Montseny;4;;;Biblioteca;17150 ;Sant Gregori;;;;41,990348635;2,76063833;OK
560;Carrer Ramadà, 14;Carrer Ramadà;14;;;;17180 ;Vic;;;;41,928255928;2,253494847;OK
561;Carrer Perelló, 114;Carrer Perelló;114;;;;17180 ;Vilablareix;;41,9488086;2,7928162;41,9488086;2,7928162;KO
562;Carrer Veïnat Puigorrat, 5;Carrer Veïnat Puigorrat;5;;;;17181 ;Aiguaviva;;;;0,0;0,0;KO
